ID,Asset,Order Type,Type,Side,Position Intent,Qty,Ratio Qty,Filled Qty,Currency,Avg. Fill Price,Status,Source,Submitted At,Filled At,Expires At
4abad4eb-40c6-41a3-9765-1926d6b8219e,TSLA,market,market,SELL,sell_to_close,1,N/A,1,USD,406.50,filled,API,N/A,24/01/2025 21:57:41,N/A
8a8a44c3-cbc9-4165-8f8c-48bc922ad7e8,TSLA,market,market,BUY,buy_to_open,1,N/A,1,USD,407.18,filled,API,N/A,24/01/2025 21:55:51,N/A
46ac9e7c-5cc8-47c7-9583-67223f8fd42f,TSLA,market,market,BUY,buy_to_open,1,N/A,1,USD,405.99,filled,API,N/A,24/01/2025 21:54:04,N/A
778db097-61ad-4e29-a803-9658dfe9b0bf,TSLA,market,market,SELL,sell_to_close,1,N/A,1,USD,406.00,filled,API,N/A,24/01/2025 21:51:49,N/A
76c265de-ad26-48c6-9c5a-de45edf490b6,TSLA,market,market,BUY,buy_to_open,1,N/A,1,USD,406.53,filled,API,N/A,24/01/2025 21:42:52,N/A
6a5b0b0c-e229-411c-aac7-141ae81437fb,TSLA,market,market,SELL,sell_to_close,1,N/A,1,USD,405.86,filled,API,N/A,24/01/2025 21:41:35,N/A
1acfe442-b29c-46b4-b4d0-dedd7c148eb1,TSLA,market,market,BUY,buy_to_open,1,N/A,1,USD,407.10,filled,API,N/A,24/01/2025 21:39:08,N/A
2c1e046e-6d17-4f45-9b0e-048ad97c594d,TSLA,market,market,SELL,sell_to_close,1,N/A,1,USD,406.38,filled,API,N/A,24/01/2025 21:35:34,N/A
b833000a-0c4b-4722-944e-a2c771a09339,TSLA,market,market,BUY,buy_to_open,1,N/A,1,USD,407.76,filled,API,N/A,24/01/2025 21:33:04,N/A
79132460-bd3d-428c-bb73-7b864a3407ea,TSLA,market,market,SELL,sell_to_close,1,N/A,1,USD,407.01,filled,API,N/A,24/01/2025 21:29:09,N/A
e596932c-2833-41d9-817b-63c73042b593,TSLA,market,market,BUY,buy_to_open,1,N/A,1,USD,407.03,filled,API,N/A,24/01/2025 21:27:36,N/A
d9dbaeca-65a0-43bc-a16c-1fd1a01aa8b4,TSLA,market,market,SELL,sell_to_close,1,N/A,1,USD,407.28,filled,API,N/A,24/01/2025 21:27:15,N/A
1eb1d94d-93fb-4a31-88d9-f194df21a2be,TSLA,market,market,BUY,buy_to_open,1,N/A,1,USD,407.62,filled,API,N/A,24/01/2025 21:26:26,N/A
